"subjectid","sumToggleCount","avgToggle","engagement"
"1397","3","0.0938","0.875"
"1398","32","1.0000","1"
"1405","54","1.6875","1"
"1406","65","2.0313","1"
"1407","75","2.3438","1"
"1408","38","1.1875","1"
"1410","1","0.0313","1"
"1412","69","2.1563","1"
"1413","0","0.0000","1"
"1415","84","2.6250","1"
"1416","83","2.5938","1"
"1418","0","0.0000","1"
"1420","0","0.0000","0.625"
"1421","0","0.0000","1"
"1423","75","2.3438","1"
"1425","30","0.9375","1"
"1426","0","0.0000","1"
"1428","55","1.7188","1"
"1429","36","1.1250","1"
"1430","0","0.0000","1"
"1432","93","2.9063","1"
"1433","0","0.0000","1"
"1434","76","2.3750","1"
"1436","19","0.5938","1"
"1438","0","0.0000","1"
"1439","0","0.0000","0.875"
"1440","0","0.0000","0.75"
"1441","82","2.5625","1"
"1442","119","3.7188","1"
"1444","60","1.8750","1"
"1446","85","2.6563","1"
"1447","0","0.0000","1"
"1450","46","1.4375","1"
"1453","52","1.6250","1"
"1454","60","1.8750","1"
"1455","63","1.9688","1"
"1457","64","2.0000","1"
"1458","0","0.0000","1"
"1459","8","0.2500","0.75"
"1460","0","0.0000","0.875"
"1461","1","0.0313","0.875"
"1462","81","2.5313","1"
"1463","3","0.0938","1"
"1465","1","0.0313","0.625"
"1466","0","0.0000","0.625"
"1468","17","0.5313","0.625"
"1470","68","2.1250","1"
"1471","37","1.1563","1"
"1474","0","0.0000","1"
"1477","0","0.0000","0.75"
"1478","11","0.3438","0.75"
"1479","10","0.3125","0.625"
"1482","1","0.0313","1"
"1483","0","0.0000","0.75"
"1485","59","1.8438","1"
"1487","1","0.0313","0.75"
"1491","1","0.0313","0.75"
"1494","0","0.0000","0.875"
"1495","0","0.0000","1"
"1496","0","0.0000","1"
"1497","1","0.0313","1"
"1499","2","0.0625","0.875"
"1501","43","1.3438","1"
"1502","0","0.0000","1"
"1505","0","0.0000","1"
"1506","0","0.0000","1"
"1508","0","0.0000","1"
"1510","1","0.0313","1"
"1514","35","1.0938","1"
"1516","45","1.4063","1"
